model,set,clip,peak
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_125_bm_daniel.wav,0.196875
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_126_af_bella.wav,0.913281
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_127_af_nicole.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_128_af_sarah.wav,0.194531
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_129_af_sky.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_130_af_heart.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_131_af_nova.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_132_am_adam.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_133_am_michael.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_134_am_eric.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_135_am_liam.wav,0.194531
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_136_am_onyx.wav,0.191406
55e182a-dirty-c574e978-hbd0e5de/stream_state_internal_quant.tflite#cbf0ec81,neg/extend,extend_137_am_puck.wav,0.370312
